ACLED Actor1,ACLED Actor1 (group),ACLED Actor2,ACLED Admin1,ACLED Admin2,ACLED Admin3,ACLED Ally Actor1,ACLED Ally Actor2,ACLED CreatedOn,ACLED Event ID Cnty,ACLED Event ID No Cnty,ACLED Event SubType,ACLED Event SubTypeDesc,ACLED Event Type,ACLED Event TypeDesc,ACLED Location,ACLED Notes,ACLED Region,ACLED Source,ACLED SourceScale,ACLED Year,Geographic Area,ACLED Fatalities,ACLED Geo Precision,ACLED Geometrry,Acled Gwno,ACLED Inter1,ACLED Inter2,ACLED Interaction,ACLED Latitude,ACLED Longitude,Acled Pk,TimeFK Event Date
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Yobe,Bade,,APC: All Progressives Congress,Government of Nigeria (2015-),2/21/2023 9:05,NIG29945,29945,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Gashua,"On 11 February 2023, supporters of the senate president threw stones at the Yobe state governor during a political rally at Gashua (Bade, Yobe) because he initially supported the senate president's opponent during the legal battle for the senatorial ticket. The rioters chanted 'we do not want' in Hausa language, the governor was taken away from the venue by his security aides. The APC denied the report and claimed that it was misleading. [size=no report]",Western Africa,Daily Post (Nigeria); Inside Arewa (Nigeria); Sahara Reporters,National-Regional,2023,North East,0,1,Point,,5,7,57,12.871,11.0482,4168154,20230211
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Zamfara,Talata Mafara,,APC: All Progressives Congress,Police Forces of Nigeria (2015-); PDP: People's Democratic Party,2/21/2023 9:05,NIG29948,29948,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Talata Mafara,"On 14 February 2023, suspected APC supporters attacked and wounded PDP supporters during a PDP rally in Talata Mafara town (Talata Marafa, Zamfara). The rioters were repelled by police escorts, the PDP claimed that the APC and the state governor were responsible for the attack. [size=no report]",Western Africa,Daily Leadership (Nigeria); Sahara Reporters,National-Regional,2023,North West,0,1,Point,,5,7,57,12.5684,6.0623,4169051,20230214
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Edo,Owan East,,Vigilante Group (Nigeria),,1/10/2023 9:05,NIG29118,29118,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Otuo,"On 16 December 2022, a mob beat up a man shortly after he was released from Otuo police station (Owan East, Edo). The victim was accused of raping a seven year old girl and her friends in Ikhin community. [size=no report]",Western Africa,Sahara Reporters,Regional,2022,South,0,1,Point,,5,7,57,7.1858,6.0086,4099037,20221216
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Lagos,Alimosho,,Taxi Drivers (Nigeria); Vigilante Group (Nigeria),,12/6/2022 15:53,NIG28675,28675,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Igando,"On 10 November 2022, a mob of commercial motorcyclists killed a suspected motorcycle thief at Egan in Igando (Alimosho, Lagos). The victim and one other person were apprehended and he was beaten to death, there are no details about the second person. Other sources report that he died before the arrival of policemen. [size=no report]",Western Africa,Sahara Reporters,Regional,2022,South,1,1,Point,,5,7,57,6.55,3.25,4054862,20221110
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Enugu,Nsukka,,,PDP: People's Democratic Party,2/21/2023 9:05,NIG29990,29990,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Nsukka,"On 10 February 2023, rioters beat up a PDP supporter who they claimed was caught tearing down LP presidential campaign posters in Nsukka (Nsukka, Enugu). [size=no report]",Western Africa,Sahara Reporters,Regional,2023,South,0,1,Point,,5,7,57,6.8561,7.3927,4167950,20230210
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Cross River,Odukpani,,Vigilante Group (Nigeria),Women (Nigeria),12/12/2022 3:33,NIG28421,28421,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Ndon Nwong,"On 13 October 2022, a mob killed five people who were accused of witchcraft in Ndon Nwong (Odukpani, Cross River). The victims were taken away and buried in the forest, they included three women and two men. [women targeted: accused of witchcraft/sorcery] [size=no report]",Western Africa,Cross River Watch,Subnational,2022,South,5,1,Point,,5,7,57,5.195,8.169,4075853,20221013
Rioters (Nigeria),Rioters (Nigeria),Civilians (Nigeria),Lagos,Kosofe,,TOAN: Tricycle Owners Association of Nigeria; Labour Group (Nigeria),LASTMA: Lagos State Traffic Management Authority,1/10/2023 9:05,NIG29116,29116,Mob violence,"Rioters violently interact with other rioters, another armed group or civilians, outside of demonstrations and without the use of lethal weapons.",Riots,"Riots are violent events where demonstrators or mobs engage in disruptive acts, including but not limited to rock throwing, property destruction, etc.",Ojota,"On 21 December 2022, a mob of about 20 TOAN members attacked LASTMA officials who were on duty at Ojota (Kosofe, Lagos) with cutlasses, broken bottles and local charms after they were informed that their chairman's car was impounded by LASTMA officials. One of the officials was wounded in the eye. [size=about 20]",Western Africa,Daily Independent (Nigeria); Vanguard (Nigeria),Subnational-National,2022,South,0,1,Point,,5,7,57,6.5863,3.3808,4100529,20221221
Government of Nigeria (2015-),Government of Nigeria (2015-),N/A,Niger,Gurara,,,,1/24/2023 9:05,NIG29590,29590,Change to group/activity,"Significant changes in the activity or structure of armed groups. This can include the creation of a new armed divisions, recruitment drives, movement of forces or any other non-violent security measures enacted by armed actors.",Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Lambata,"Security measures: On 15 January 2023, the Niger State Government imposed a dusk-to-down curfew in the Lambata community, Lambata (Gurara, Niger). The curfew was imposed to restore peace and douse the tension arising from the killing of the District head by some communal militia, coded separately.",Western Africa,Nigeria Punch; Vanguard (Nigeria),National,2023,Centre,0,1,Point,,1,0,10,9.2898,7.0089,4138146,20230115
Military Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Benue,Guma,,,,1/10/2023 9:05,NIG29308,29308,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Udei,"Property destruction: On 23 December 2022, troops of Operation Whirl Stroke raided the hideout of an unidentified armed group and recovered some items at Udei (Guma, Benue). The group fled when they sighted the troops, the items that were recovered included military and police uniforms.",Western Africa,Daily Independent (Nigeria),National,2022,Centre,0,1,Point,,1,3,13,8.105,8.5237,4101055,20221223
Police Forces of Nigeria (2015-),State Security Forces,Black Axe Militia (Nigeria),Benue,Gwer East,,,Red Axe Cult Militia,2/21/2023 9:05,NIG29946,29946,Arrests,State forces or other actors exercising de facto control detain a particularly significant individual or engage in mass arrests.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Ikpayongo,"On 30 January 2023, the police arrested 29 members of Black Axe and Red Axe cult militias in Ikpayongo (Gwer East, Benue) following a clash between them the previous day which led to the death of one person [coded separately].",Western Africa,PM News,National,2023,Centre,0,1,Point,,1,3,13,7.5705,8.5994,4167738,20230130
Police Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Kano,Kano Municipal,,,PDP: People's Democratic Party,2/21/2023 9:05,NIG29944,29944,Arrests,State forces or other actors exercising de facto control detain a particularly significant individual or engage in mass arrests.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Kano,"On 9 February 2023, policemen arrested 53 suspected members of an unidentified armed group at a PDP rally in Kano (Kano Municipal, Kano) as claimed by the state police command. Two locally made guns, 32 knives, one axe, two catapults and a bunch of charms were recovered from them by the police.",Western Africa,Daily Trust (Nigeria),National,2023,North West,0,1,Point,,1,3,13,12,8.5167,4167866,20230209
Police Forces of Nigeria (2015-),State Security Forces,Civilians (Nigeria),Kano,Kano Municipal,,,,1/10/2023 9:05,NIG29462,29462,Arrests,State forces or other actors exercising de facto control detain a particularly significant individual or engage in mass arrests.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Kano,"On 4 January 2023, policemen arrested at least 61 suspected political thugs in Kano (Kano Municipal, Kano) while on clearance operation during the APC presidential rally. 33 knives, 8 cutlasses, four scissors and a parcel of marijuana were recovered from the suspects by the police.",Western Africa,Daily Post (Nigeria); Daily Trust (Nigeria),National,2023,North West,0,1,Point,,1,7,17,12,8.5167,4104232,20230104
Military Forces of Nigeria (2015-),State Security Forces,Civilians (Nigeria),Anambra,Ihiala,,,,1/31/2023 9:05,NIG29707,29707,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Amamputu-Uli,"Property destruction: On 24 January 2023, troops of the Nigerian Army destroyed properties and set houses ablaze in Amamputu-Uli community (Ihiala, Anambra). The soldiers also looted belongings from some of the houses.",Western Africa,Sahara Reporters,Regional,2023,South,0,1,Point,,1,7,17,5.7879,6.8203,4144923,20230124
Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Jihadi Groups,N/A,Borno,Nganzai,,,,12/12/2022 3:33,NIG28419,28419,Other,"Any significant development that does not fall into the other sub-event types including the occurrence of a coup, displacement of civilian population, discovery of mass graves etc.",Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Gasarwa,"Other: On 17 October 2022, Boko Haram [JAS] militants mounted an illegal vehicle checkpoint at Gasarwa (Nganzai, Borno). There are no further details.",Western Africa,"Risk and Strategic Management, Corporation",Local partner-International,2022,North East,0,1,Point,,2,0,20,12.6181,13.3323,4087407,20221017
Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Jihadi Groups,Military Forces of Nigeria (2015-),Borno,Damboa,,,,12/6/2022 15:53,NIG28807,28807,Agreement,"Any sort of agreement between different actors (such as governments and rebel groups) including  peace talks, ceasefires, repatriations, etc.",Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Damboa,"On 20 November 2022, 51 Boko Haram [JAS] militants surrendered to Nigerian troops at Damboa (Damboa, Borno). The militants comprised of 2 commanders and 49 fighters.",Western Africa,Guardian (Nigeria); Daily Trust (Nigeria),National,2022,North East,0,1,Point,,2,1,12,11.156,12.7576,4062843,20221120
Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Jihadi Groups,Military Forces of Nigeria (2015-),Borno,Konduga,,,,1/31/2023 9:05,NIG29674,29674,Agreement,"Any sort of agreement between different actors (such as governments and rebel groups) including  peace talks, ceasefires, repatriations, etc.",Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Konduga,"On 25 January 2023, about 63 Boko Haram [JAS faction] militants including top commanders surrendered to troops of Operation Hadin Kai at Konduga (Konduga, Borno).",Western Africa,Twitter,New media,2023,North East,0,1,Point,,2,1,12,11.6558,13.4213,4145397,20230125
Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Jihadi Groups,Military Forces of Nigeria (2015-),Borno,Bama,,,,1/31/2023 9:05,NIG29679,29679,Agreement,"Any sort of agreement between different actors (such as governments and rebel groups) including  peace talks, ceasefires, repatriations, etc.",Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Banki,"On 21 January 2023, at least 100 ISWAP/ Boko Haram militants and their families surrendered to troops of Operation Hadin Kai at Banki (Bama, Borno) and Konduga [coded separately].",Western Africa,Sahara Reporters; Twitter,New media-Regional,2023,North East,0,1,Point,,2,1,12,11.2551,14.1482,4143674,20230121
Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Jihadi Groups,Military Forces of Nigeria (2015-),Borno,Konduga,,,,1/31/2023 9:05,NIG29681,29681,Agreement,"Any sort of agreement between different actors (such as governments and rebel groups) including  peace talks, ceasefires, repatriations, etc.",Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Konduga,"On 21 January 2023, at least 100 ISWAP/ Boko Haram militants and their families surrendered to troops of Operation Hadin Kai at Konduga (Konduga, Borno) and Banki [coded separately].",Western Africa,Sahara Reporters; Twitter,New media-Regional,2023,North East,0,1,Point,,2,1,12,11.6558,13.4213,4143676,20230121
Islamic State (West Africa) - Lake Chad Faction,Jihadi Groups,Civilians (Nigeria),Borno,Biu,,,,2/7/2023 9:05,NIG29809,29809,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Gur Lawan,"Looting: On 29 January 2023, suspected ISWAP militants stole medical supplies from a primary healthcare center and set it ablaze when they invaded Gur Lawan village (Biu, Borno). The militants shot sporadically to scare residents and fled when they sighted troops of 231 battalion, Operation Hadin Kai.",Western Africa,Twitter,New media,2023,North East,0,1,Point,,2,7,27,10.8105,12.2843,4154523,20230129
PDP: People's Democratic Party,State Security Forces,SDP: Social Democratic Party (Nigeria),Rivers,Tai,,,,1/10/2023 9:05,NIG29341,29341,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Nonwa Udume,"Property destruction: On 26 December 2022, suspected PDP members vandalized the office of the SPD in Nonwa Udume (Tai, Rivers). The assailants shot sporadically, destroyed canopies and the stage that were set for an event.",Western Africa,Daily Post (Nigeria); Daily Trust (Nigeria); Vanguard (Nigeria),National,2022,South,0,1,Point,,3,3,33,4.7423,7.2228,4101805,20221226
PDP: People's Democratic Party,State Security Forces,APC: All Progressives Congress,Zamfara,Gusau,,,,12/6/2022 15:53,NIG28936,28936,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Gusau,"Property destruction: On 27 November 2022, the Zamfara state government claimed that PDP supporters destroyed APC owned properties in Gusau (Gusau, Zamfara) during a rally organized by the gubernatorial candidate of the PDP. The PDP reacted to the claims and said the arrest of its prominent members in the state was undemocratic and unconstitutional.",Western Africa,Blueprint,National,2022,North West,0,1,Point,,3,3,33,12.1628,6.6614,4067778,20221127
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Enugu,Enugu East,,,,12/12/2022 3:33,NIG28448,28448,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Emene,"Property destruction: On 17 October 2022, an unidentified armed group set fire to a bus at Emene market (Enugu East, Enugu) for refusing to comply with a sit in order.",Western Africa,"Risk and Strategic Management, Corporation",Local partner-International,2022,South,0,1,Point,,3,7,37,6.4759,7.584,4076501,20221017
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Anambra,Ihiala,,Anambra State Vigilante Service,Labour Group (Nigeria),12/6/2022 15:53,NIG28766,28766,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Ihiala,"Looting: On 17 November 2022, suspected members of Anambra Vigilante service took away the phones of the gate keepers at a catholic church in Ihiala (Ihiala, Anambra). The assailants who were led into the premises by two priests tied up the gate keepers when they invaded the premises, the reason for the invasion is unknown.",Western Africa,Vanguard (Nigeria); Nigeria Punch,National,2022,South,0,1,Point,,3,7,37,5.8538,6.8603,4060352,20221117
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Benue,Gboko,,,PDP: People's Democratic Party,12/6/2022 15:53,NIG28851,28851,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Gboko,"Property destruction: On 24 November 2022, an unidentified armed group set the house of a Benue PDP chieftain ablaze in Gboko (Gboko, Benue). A section of the house was burnt, and the victim claimed that properties worth million were destroyed; he added that the opposition was responsible and that he could not immediately say who. Other sources report that the arsonists are the victim's political opponents from the same party.",Western Africa,Daily Trust (Nigeria),National,2022,Centre,0,1,Point,,3,7,37,7.3179,8.9951,4066205,20221124
APC: All Progressives Congress,State Security Forces,Civilians (Nigeria),Gombe,Gombe,,,PDP: People's Democratic Party,1/10/2023 9:05,NIG29185,29185,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Gombe,"Property destruction: On 12 December 2022, suspected APC loyalists set the headquarters of the PDP in Gombe (Gombe, Gombe) ablaze. The PDP claimed that the APC was responsible for the attack.",Western Africa,Daily Post (Nigeria); Premium Times (Nigeria),National,2022,North East,0,1,Point,,3,7,37,10.2897,11.1673,4097673,20221212
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Imo,Orlu,,,Christian Group (Nigeria),1/10/2023 9:05,NIG29173,29173,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Orlu,"Looting: On 11 December 2022, an unidentified armed group robbed a a pentecostal archbishop at Akata market square in Orlu (Orlu, Io). The victim who was on his way to a church function was stripped naked, his car and other belongings were taken away.",Western Africa,Nigeria Punch,National,2022,South,0,1,Point,,3,7,37,5.7946,7.035,4097278,20221211
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Imo,Orlu,,,Government of Nigeria (2015-),1/10/2023 9:05,NIG29247,29247,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Orlu,"Property destruction: On 17 December 2022, an unidentified armed group set a section of the magistrate court in Orlu (Orlu, Imo) ablaze. Some sensitive documents were destroyed as a result, the magistrate court is located in the same building as the high court, the police claimed that the fire resulted from an electrical fault.",Western Africa,Blueprint; Daily Post (Nigeria); Daily Trust (Nigeria),National,2022,South,0,1,Point,,3,7,37,5.7946,7.035,4099322,20221217
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Abia,Bende,,,Government of Nigeria (2015-); APC: All Progressives Congress,2/7/2023 9:05,NIG29817,29817,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Uzuakoli,"Property destruction: On 27 January 2023, an unidentified armed group destroyed parts of the constituency office of a member of the House of Representatives at Uzuakoli (Bende, Abia). The member claimed that there were no security agents at the scene until the assailants left; over 100 bullets were found, windows, ceilings and billboards were destroyed and APC fliers were torn.",Western Africa,Daily Trust (Nigeria); New Telegraph,National,2023,South,0,1,Point,,3,7,37,5.6275,7.5553,4153900,20230127
Anambra State Signage and Advertisement Agency,Anambra State Signage and Advertisement Agency,Civilians (Nigeria),Anambra,Awka South,,,LP: Labour Party,1/24/2023 9:05,NIG29660,29660,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Awka,"Property destruction: On 14 January 2023, the Anambra State Signage Agency destroyed the billboards and campaign poster of the Labour Party in Awka (Awka South, Anambra) over the failure of the party to pay the requisite fees before installing the billboards. However, the party chairman in the state considered the action to be politically motivated and aimed at undermining the party in the state.",Western Africa,Nigeria Punch,National,2023,South,0,1,Point,,3,7,37,6.2101,7.0741,4137862,20230114
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Bauchi,Bauchi,,,APC: All Progressives Congress,2/7/2023 9:05,NIG29815,29815,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Bauchi,"Looting: On 1 February 2023, an unidentified armed group suspected to be assassins stole laptops and phones from the home of an assistant APC presidential campaign director in Bauchi (Bauchi, Bauchi). The director who was absent at the time of the invasion claimed that the assailants went to his room, and robbed his children of their phones and computers when they could not find him.",Western Africa,Daily Leadership (Nigeria),National,2023,North East,0,1,Point,,3,7,37,10.3134,9.8433,4155698,20230201
APC: All Progressives Congress,State Security Forces,Civilians (Nigeria),Cross River,Calabar Municipal,,,PDP: People's Democratic Party,2/14/2023 9:05,NIG29855,29855,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Atimbo,"Property destruction: On 5 February 2023, APC loyalists who were led by the party's House of Representatives candidate for Calabar South/Bakassi/Akpabuyo federal constituency destroyed billboards of PDP candidates with the private residence of a youth leader at Atimbo (Calabar Municipal, Cross River). The house was broken in two, and properties were destroyed as claimed by the PDP.",Western Africa,Guardian (Nigeria),National,2023,South,0,1,Point,,3,7,37,4.9471,8.3878,4162883,20230205
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Ebonyi,Ezza South,,APC: All Progressives Congress,NNPP: New Nigeria Peoples Party,2/28/2023 9:06,NIG30081,30081,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Amaezekwe,"Property destruction: On 21 February 2023, an unidentified armed group suspected to be affiliated with the APC set a catholic church ablaze and burnt a section of it at Amagu in Amaezekwe (Ezza South, Ebonyi). Some sources report that the attack was targeted at the parish priest who escaped, following his endorsement of the governorship candidate of APGA.",Western Africa,Daily Independent (Nigeria),National,2023,South,0,1,Point,,3,7,37,6.1425,8.0716,4177770,20230221
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Enugu,Aninri,,,APGA: All Progressives Grand Alliance Party,2/14/2023 9:05,NIG29892,29892,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Ndeaboh,"Property destruction: On 27 January 2023, an unidentified armed group destroyed two cars and other properties at the house of the APGA candidate for Aninri constituency in the Enugu house of assembly. Location coded to Ndeaboh (Aninri, Enugu), the candidate claimed that the attack was sponsored by the opposition.",Western Africa,Nigeria Punch,National,2023,South,0,1,Point,,3,7,37,6.0426,7.5821,4162187,20230127
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Imo,Okigwe,,,LP: Labour Party,2/14/2023 9:05,NIG29931,29931,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Ihube,"Property destruction: On 4 February 2023, an unidentified armed group set the houses and properties of an LP candidate for Okigwe state constituency and chieftain of the party at Ihube (Okigwe, Imo). The houses of the candidate's father, uncle and other relatives were also set ablaze.",Western Africa,Blueprint; Nigeria Punch,National,2023,South,0,1,Point,,3,7,37,5.8611,7.3737,4162605,20230204
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Imo,Oru East,,,APC: All Progressives Congress,2/14/2023 9:05,NIG29859,29859,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Omuma,"Property destruction: On 6 February 2023, an unidentified armed group destroyed canopies and a power generating set when they invaded the venue of an APC rally in Omuma (Oru East, Imo). The assailants who arrived in 5 hilux van and with weapons and gas bottles shot sporadically and stole the phones that were abandoned by their owners who fled.",Western Africa,Blueprint,National,2023,South,0,1,Point,,3,7,37,5.6584,6.9311,4163180,20230206
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Imo,Oguta,,,Government of Nigeria (2015-),2/21/2023 9:05,NIG29957,29957,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Oguta,"Property destruction: On 12 February 2023, an unidentified armed group set ablaze the high court at Oguta (Oguta, Imo). The assailants shot sporadically at the premises, some parts of the court were affected by the fire.",Western Africa,Daily Trust (Nigeria),National,2023,South,0,1,Point,,3,7,37,5.7089,6.8103,4168366,20230212
Unidentified Armed Group (Nigeria),Armed Bandits,Civilians (Nigeria),Imo,Orlu,,,Government of Nigeria (2015-); PDP: People's Democratic Party,2/21/2023 9:05,NIG30030,30030,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Orlu,"Property destruction: On 12 February 2023, an unidentified armed group in their numbers set the house of the lawmaker representing Orlu at the state house of assembly ablaze at Umuduru in Orlu LGA (Imo).",Western Africa,Guardian (Nigeria); Sun (Nigeria),National,2023,South,0,1,Point,,3,7,37,5.7946,7.035,4168368,20230212
Unidentified Cult Militia (Nigeria),Communal militias,Civilians (Nigeria),Lagos,Surulere,,,,1/24/2023 9:05,NIG29654,29654,Looting/property destruction,An organized armed group engages in looting or seizing goods or property other than weapons or weapon.,Strategic developments,"This event type captures contextually important information regarding the activities of violent groups that is not itself recorded as political violence, yet may trigger future events or contribute to political dynamics within and across states.",Ijesha-Tedo,"Property destruction: On 15 January 2023, an unidentified cult militia vandalized vehicles parked on Ehi and Akewukewe streets, Ijesha-Tedo (Surulere, Lagos). The militiamen searched for a drug dealer in the community but did not meet him at home. They then destroyed all cars on the streets in anger.",Western Africa,Nigeria Punch,National,2023,South,0,1,Point,,3,7,37,6.492,3.3243,4138155,20230115
